الجماال	الجمال
اب؟	أب
حزيين	حزين
عصابه	عصابة
لنغمة	نغمة
متال	مثال
تكلفته	التكلفة
؟أين	أين
نآدر	نادر
أعلنت	اعلنت
مُحزن	مخجل
ورفع	رفع
أَنَّى	أنّى
الضغط…	الجلد
الرقام	الأرقام
معععاذ	معاذ
آلصعب	الصعب
إذاأقبل	أقبل
الاخضر…	الأصفر
النّاس	الناس
فاخرخلاص	فاخر
الأن	الآن
البنفسجي	الأزرق
أقبلأقبل	أقبل
،،هم	هم
السحلية	الحشرة
مؤؤلم	مؤلم
مـات	مات
عكس	العكس
بارد؟	بارد
وبديع	بديع
عجل،	عجل
الموُت	الموت
المئة،	المائة
آلعمر	العمر
​كيف	كيف
مرفوص	مرفوض
والسكر	السكر
وبقرة	بقرة
خنفس	خفاش
ألى	إلى
ألى	الى
العدوا	العدو
إستغرقت	استغرق
وقّف	وقف
لمنطقة	منطقة
الفستان	فستان
وأتقان	إتقان
ألاب	الأب
“عدم	عدم
صآلح	صالح
الأم؟	الأم
بالارنب	القط
الذيّن	الذين
تسويق؟	تخمين
لقطاع	قطاع
دونَ	دون
الجلب	الكلب
واعادة	اعادة
كالشرق	الشرق
هذاك	ذاك
ذاكـ	ذاك
قادرين	قادرة
بدلأ	بدلا
ذلكك	ذلك
اسطوري	استثنائي
لباقي	بقية
يذهب	تذهب
وتلبيةً	تلبية
هُناك	هناك
لبناء	بناء
صُوت	صوت
ملعوون	ملعون
تلبيتهم	تلبية
الضرورة،	الضرورة
إليم	أليم
مخجل	مخيف
هما…	هما
العيّنة	الفئة
الكبرى…	الكبرى
حرفٍ	حرف
الحماية	الرعاية
فَ	ف
آثر	اثر
غدا،	غدا
بتغيير	تغيير
بقطار	قطار
🔴هيئة	هيئة
القياس	قياس
فﻻن	فلان
ضحيه	ضحية
هّذه	هَذِه
؛حين	حين
بخدمة	خدمة
للقانون	القانون
السفر؟	السفر
ايتها	عزيزتي
مطَر	مطر
وطاق	طاق
عضيم	عظيم
أعلا	أعلى
لدفع	دفع
لورق	ورق
منمرح	مرح
🌟قال	قال
جممال	جمال
قااموس	قاموس
سريع”	سريع
و4	و6
فيالشرق	الشرق
الحَديث	الحديث
الأسبق	السابق
اخرى،	اخرى
گلا	كلا
عدوك	العدو
نحنو	نحن
فيهآ	فيها
حققت	تحقق
كما…	كما
إيطار	إطار
الداخي	الذاتي
لك💓	لك
ميتٍ	ميت
بالمسار	المسار
اعيرو	انبرى
كلما	كلّما
كثيراا	كثيرا
لسوق	سوق
سخص	شخص
شركه	شركة
العممر	العمر
حصولهم	الحصول
سـوى	سوى
بوصات	بوصة
أينماا	أينما
،وقفت	وقفت
قصہ	قصة
عليه❤️	عليه
الحنوب	الجنوب
لوكاله	لوكالة
عبورلا	عبور
سقطوا	سقط
أقلّ	أقل
لغني	غني
بريهة	قبعة
بشارع	شارع
أغاني	أغنية
مكتوبة،لا	مكتوبة
مكتوبة،	مكتوبة
خلق…	خلق
ثانى	ثان
وحيييد	وحيد
الكثيير	الكثير
الحكم	حكم
عميق”	سحيق
له✨	له
بإسقاط	إسقاط
وفوق	فوق
اي	إي
كلمہ	كلمة
بنا،،	بنا
،بس	بسّ
مفتاااح	مفتاح
‏منذ	منذ
وِتر	وتر
نتجية	نتيجة
تجهيز	توفير
مذهل	مخيف
تكريك	تشغيل
دعوة…	دعوة
اربع	اربعة
إبن	ابن
وملكة	ملكة
اﻻساسية	الأساسية
الشتاء	شتاء
واااسع	واسع
ومثل	مثل
ميت،،	ميت
البحر	المحيط
طالمّا	طالما
النتيج	النتيجة
دقيقة…	دقيقة
كُره،	كره
مباشـــــر	مباشر
النّساء	النساء
ضُوء	ضوء
اربعة	أربعة
رهييييييب	رهيب
المتحف	المعرض
عمليّة	عملية
انا	أنا
عيييب	عيب
فﻵن	فلان
لذييييذ	لذيذ
هذَا	هَذا
شبہ	شبه
حرارھ	حرارة
مشغول…	مشغول
صفحتنا	الصفحة
وهيا	وهي
بيشتري	اشترى
البيانات	الأرقام
المحاو…	الحركة
الصحيح	السليم
الفرقه	فرقة
أقترح	اقترح
ممّن	ممن
بههم	بكما
مع…	مع
أكث…	أكثر
الأخضر	الأصفر
لأرسال	إرسال
خوفٌ	خوف
بـما	بما
الأطعمة	اللحوم
بخطر	خطر
سعيـد	سعيد
أُولئك	أولئك
حطموا	حطم
ورقيق	رقيق
ونحن	نحن
كشريط	شريط
وحيدة	وحيد
_الأثنين	البيض
،مفهوم	مفهوم
جزئ	جزء
شخصٍ	شخص
عنهكربة	كرب
الماال	المال
سجلها	سجل
؛سبحان	سبحان
ماتَ	مات
وااضح	واضح
أصبعه	إصبع
عل…	على
بيتز	كيت
الفعل،	الفعل
ربطات	ربطة
جميل💕	جميل
راائع	رائع
مقدّس،	مقدس
،أقول	أقول
ثقيله	ثقيلة
نوافذ	نافذة
،يبدو	يبدو
فِعل	فعل
جدآ	جدا
مؤكده	مؤكد
،ضمن	ضمن
واااضح	واضح
بتهمة	تهمة
مليونين	مليون
لاتنمو	تنمو
سحب…	سحب
⁰بس	بسّ
،،لكي	لكيلا
‏​بين	بين
إلذي	الذي
ورحلة	رحلة
أُسس	أسس
_لما	لما
حقيقه…	حقيقة
اياها	إياها
‏كي	كي
خﻻل	خلال
المياه”	المعادن
مخيف	مذهل
“أفضل	أفضل
بذىء	بذيء
هبً	هبّ
رااقي	راقي
مُقابل	مقابل
الأنخفاض	الارتفاع
عقوبته	عقوبة
تهجّى	تهجى
غالباً	غالبا
،غير	غير
اﻻم	الأم
نآمل	نأمل
قامت	قام
فالحشامنزل	منزل
وبذيء	بذيء
طيب؟	طيب
تعلـم	تعلم
جوابها	الجواب
فظييييع	فظيع
عليّل	عليل
صغيييير	صغير
نااااعم	ناعم
الكليه	القسم
صُبُرًا	حَبَّذَا
سماءء	سماء
،خلال	خلال
مألم	مخيف
ممتازه	ممتاز
ۆقد	وقد
،احتفظ	احتفظ
التجربہ	التجربة
التمثيل	تمثيل
مغلقة	مفتوحة
متأسفه	متأسف
فنغ	فو
مغنطيس	مغناطيس
،،لكي	لكي
مؤلم	مؤسف
6قطعه	قطن
وسبب	سبب
أغبياء؛	أولاء
رجل…	رجل
الهوة	الفجوة
خشب	الخشب
نافِذة	نافذة
الرئيسة	الرئيسية
‏لعبة	لعبة
لقياس	قياس
لربطة	ربطة
هن⬅	هن
الأخيرة…	الاخيرة
البنك؟	البنك
شغل☺	شغل
كئيب؟	كئيب
سنين	سنوات
مخزيٍ	مخز
تلائم	تناسب
بالسفر	السفر
أشجار	شجرة
رزيل	ظريف
حآلة	حالة
الخضار	الخبز
لذين	الذين
ذيلاً	ذيل
عدَّة	عدة
تسذا	كذا
عَميق	عميق
ترفع	رفع
دنئ	دنيء
لذيييذ	لذيذ
فرتب	رتب
عكسه	العكس
شكرًا	شكرا
ويكون	يكون
الرسال…	الرسالة
الأخيرة	الاخيرة
حجِم	حجم
محركات	محرك
حصل	حصلت
الثلوج،	الجليد
واين	أين
رفعوا	رفع
علی	على
‏مادة	مادة
،لم	لم
شقيقه	شقيقة
الازرق	الأزرق
​لما	لما
خُطة	خطة
بدﻻ	بدلا
صمدلم	ولم
كَأنّهَا	لَكِنَّ
ووصف	وصف
النصف	نصف
ألعاب	لعبة
فيمّا	فيما
لرصد	رصد
الخضروات	الفاكهة
_لو	لو
؛مِن	مِن
عَمَّا…	عَمَّا
إرتداء	ارتداء
سٰرعان	سرعان
المقبل”	المقبل
كمال،	كمال
رفيع،	رفيع
﴿إنَّ	إِنَّ
الأرتفاع	الارتفاع
خرئط	خريطة
حِلم	حلم
شهرين	شهر
إيقاف	توقف
لوقف	وقف
محاولة…	محاولة
🔑مفتاح	مفتاح
انتم	أنتم
لعُمر	لعمر
فستاان	فستان
“صحيح	صحيح
الذين	اللذين
وأما	أما
خاااااص	خاص
ارضٍ	أرض
كهربي	كهربائي
سعييد	سعيد
جدول	الجدول
هآئل	هائل
‏نبيل	نبيل
ماحدث	حدث
مفتااح	مفتاح
اركض	ركض
لقمةأحدكم	لقمة
معًا	معا
الفعـل	الفعل
عااام	عام
عبورٌ	عبور
وااحد	واحد
٠٠٠ولا	ولا
شاحنة	سيارة
ذلكَ	ذلك
ۈاحد	واحد
‏البعض	البعض
جيرانا	الجيران
اججل	اجل
واحد”	واحد
يؤدي	أدى
الضفدعة	الحشرة
،مِن	مِن
السآق	الساق
بعيـد	بعيد
‏​ماذا	ماذا
إمآ	إمّا
واسع،	واسع
بإيد	بيد
بالعمل	العمل
هُنا	هاهنا
‏شكل	شكل
وناعم	ناعم
اياه	إياهم
2⃣في	في
تلبيته	تلبية
للقرن	القرن
يعقتد	يعتقد
موقفه	موقف
آهل	أهل
فقره	فقرة
مظلم،	مظلم
قصائد	قصيدة
احتبار	اختبار
هذ…	هذا
غنيٌ	غني
​لم	لم
ودولة	دولة
وضييييع	وضيع
إينما	أينما
مآذآ	ماذا
مُمكن	ممكن
آثار	أثار
مهمها	مهما
،وان	وان
الكورة	كرة
معتم	مظلم
مدام	مادام
حـول	حول
اماا	اما
بيلعب	لعب
،،وان	وان
كوره	كرة
تجربة	التجربة
الحاضر،	الحاضر
طوول	طول
تطرح	طرح
صغير😂😂	صغير
مّمن	ممن
مصنوعة	مصنوع
طووووول	طول
كِلاهما	كلاهما
‏​بعض	بعض
‏​‏​عندما	عندما
العمر…	العمر
طب	طيب
حـي	حي
بالأدق	بالأحرى
ووسط	وسط
الطاقة،	الطاقة
بضعَ	بضع
الكبرى،	الكبرى
اختراع…	اختراع
تحّول	تحوّل
الخلية	خلية
بالقرب	قرب
النفس،،	النفس
ام	أم
الدخول	دخول
مؤذٍ	مؤذ
تتطلبها	تتطلب
مليون…	مليون
لديك	لديه
الكاليماري	البيض
جـدول	جدول
موكده	مؤكد
نطلب	تطلب
آميِن	آمينَ
ومهما	مهما
وقال،	وقال
سنّة	سنة
سَأنساك	تأنق
علبةة	علبة
تستدعي	تتطلب
أيضآ	أيضا
اسمر،	أسمر
والرد	الرد
اسبوع	أسبوع
وصخ	وسخ
مثآل	مثال
مخزى	مخزي
ببحيرة	بحيرة
؟بالطبع	بالطبع
لايبدو	يبدو
قبعه	قبعة
الشهير	الشهيرة
وبالتأكيد	بالطبع
طبيعية	حقيقية
لستُ	لَسْتُ
نظيف،	نظيف
طبيعي😂	طبيعي
اللغلة	اللغة
بالاحرى	بالأحرى
الضحك😂	الضحك
🔴مجموعة	مجموعة
الشاطيء	الشاطئ
گئيب	كئيب
سنه	سنة
إشعارٍ	إشعار
وحديد	حديد
محطتي	محطة
فضيله	فضيلة
المجلس	مجلس
جللٌ	جلل
هواها❤️	هواء
سيطرتة	السيطرة
لغذاء	غذاء
كُتب	كتب
الإنتاج	إنتاج
بعسير	عسير
بهآ	بها
فترات	فترة
الاول	الثالث
أياهه	إياهن
وشكل	شكل
الكلب😂	الكلب
بإرتداء	ارتداء
الولاده	الولادة
الصعب،	الصعب
أبدآ	أبدا
،فرصة	فرصة
بزياره	زيارة
الصبحي،	العشري
الام،	الأم
ممتع،	ممتع
المضبط	بالضبط
“لما	لمّا
مقدّس	مقدس
ماعرف	عرف
مثـل	مثل
‏هل	هل
الوصوول	الوصول
منحسش	نحس
ابيّض	أبيض
ملعون…	ملعون
ضحايا	ضحية
منذو	منذ
حارة	الحارة
بِها	بها
جَميل	جميل
اﻷزرق	الأزرق
وتحدث	تحدث
مشتركك	مشترك
مييل	ميل
ملايين	مليون
كمَا	كما
فتاه	فتاة
لتشغيل	تشغيل
كثيرا،	كثيرا
اكثرر	اكثر
عامّة	عامة
لمكتب	مكتب
الاهل	الجيران
اجابي	سلبي
ٺمر	تمر
حدّد	حدد
عييين	عين
_حين	حين
آلقَيُومْ	إلَيْكَ
هُنّ	هن
رجلٌ	رجل
امنه	آمنة
تجلب	جلبت
قط	قطّ
اثآر	أثار
لديهم	لدينا
فيهه	فيه
حار؟	حار
قويّ	قوي
ااثر	اثر
فُوق	فوق
خليب	حليب
يحدث…	يحدث
الدجوي	العشري
الاسبوع	الموسم
الملكيه	الملكية
فكان	وكان
يرتفع	ارتفع
اسِف	متأسف
أما	اما
إياه	إياها
حلو،	حلو
لراديو	راديو
كُرة	كرة
كذبه	كذبة
جنوني،	جنوني
وخط	خط
بابّ	باب
الحفاظ	حماية
عدّة	عدة
غذاً	غدا
يَاأيُّهَا	لَسْتُنَّ
اعداد	إعداد
رااح	راح
أبغضَ	أبغض
الاسم	اسم
آلنهر	النهر
الجنيه؟	الجنيه
سوا	سوى
عليكولستُ	اللواتي
إمرأه	امرأة
عينٍ	عين
كتيبة	فرقة
الضوء	ضوء
كلاهم	كلاهما
ادى	أدى
مُصطلح	مصطلح
كتبَ	كتب
ذلك…	ذلك
وقطن	قطن
دوائر	دائرة
بـارد	بارد
سوفا	سوف
الأسد	النظام
﴿كلا	كلا
الطائرة	طائرة
تمـر	تمر
وركن	ركن
الآول	الاول
اثبات	إثبات
تناسب…	تناسب
كلب	الكلب
بگن	بكن
يشير	تشير
تتفوق	تفوق
ومصنع	مصنع
لعينٍ	لعين
قلبَ	قلب
حسّي	حسي
الدهنيات	السكر
سفر	السفر
والسائل	السائل
مرهه	مرة
مزبووط	مضبوط
بالامس	امس
شجرةٌ	شجرة
لاتحتوي	تحتوي
العالم،	العالم
ثُم	ثمّ
وسطع	ساطع
عصابات	عصابة
جزءاً	جزء
💔وقد	وقد
حار،	حار
أُنفق	أنفق
العاصة	العاصمة
لطالما	طالما
الشاطى	الشاطئ
لأنكما	أنتما
مصلحت	مصلحة
منها…	منها
الكبرئ	الكبرى
بضبط	بالضبط
إنجار	منجز
إلی	إلى
الرعايه	الرعاية
ظهراً،	ظهرا
شقّة	شقة
لحضه	لحظة
الناس،،،	الناس
عرفَ	عرف
قرء	قرأ
عاما”	عاما
خطاب…	خطاب
أكيد	بالتأكيد
انتوا	أنتم
وثم	ثم
الأيرلندية	الملكية
دونک	دونك
أستغرقت	استغرق
عُمر	لعمر
حفره	حفرة
بشكلٍ	بشكل
استضراف	ظرافة
الاتجاه	المسار
تأهيل	تطوير
يبدأ	ابتدأ
اطار	إطار
تٌشير	تشير
ودّي	ودي
الاا	الا
،سجل	سجل
الفرح،	الفرح
حتی	حتى
اربع	بضع
ورمي	رمي
نجاج	نجاح
بماا	بما
هآؤم	هاؤم
خًط	خط
لعيين	لعين
فاضح،	فاضح
كآمل	كامل
الرجال،	الرجال
والعمل	العمل
مُثير	مثير
ممكت	ممكن
قيادة…	قيادة
استخد	استخدام
،ف	ف
حگم	حكم
بقعةٍ	بقعة
مسكيين	مسكين
الثامن	الثالث
سنة،	سنة
ضوءُ	ضوء
الماضى	الماضي
عَمَّايَعْمَلُ	عَمَّا
الطفل	طفل
هوُاء	هواء
مُوجع	موجع
آآلف	الف
اداة	أداة
مدهش	مذهل
ممآ	مما
مشرق…	مشرق
كِتاب	كتاب
الصلعة	الحشرة
وجة	وجه
كثييير	كثير
‏نظام	نظام
الاخيره	الاخيرة
قررت	تقرر
منذو	مذ
جمييل	جميل
،،عن	عن
مطار	ميناء
حسنّ	حسن
مئة	مائة
العرض98470536006677	العرض
وصرخة	صرخة
ولاكن	لكن
السير	سير
قطعةُ	قطعة
شمسّ	شمس
🔴رئيس	رئيس
بدل	بدلا
ماٺ	مات
عميييييق	عميق
التعويضات،	الرعاية
مستوفية	منفصلة
وركض	ركض
أنتُم	أنتم
الأغاني	الغناء
هالرقم	الرقم
يحرقون	حرق
جـميل	جميل
لعبو	لعب
للغاز	الغاز
كساحة	ساحة
يَعتقد	يعتقد
الخصية	الرقبة
دولة…	دولة
الحشدوالجيش	الحشد
مستويات	مستوى
ألآن	الآن
،عدا	عدا
العاشر	الثالث
مخيف	مريع
بشّع	بشع
وضيييييع	وضيع
جمااال	جمال
موقف…	موقف
الواديّ	الوادي
عااد	عاد
شِتاء	شتاء
جبل…	جبل
اناقه	أناقة
النساءمن	النساء
مخجل	مخزي
واضحه	واضح
الأمعاء،	الأنف
عيبّ	عيب
ولجلب	جلب
الكتف،	الكتف
فظٌ	فظ
آنها	انها
أياهن	إياهن
قبّعة	قبعة
الطبيتين	اللتين
عالجانب	الجانب
سيئ	رديء
سبعة	ستة
دعوَة	دعوة
وبحيرة	بحيرة
طرحه	طرح
أينما…	أينما
ممارست	ممارسة
تعلمُ	تعلم
الدابه	الحشرة
يٌحدث	يحدث
‏​عقوبة	عقوبة
رقمهم	الرقم
هاؤمُ	هاؤم
إبتدأ	ابتدأ
بحثها	البحث
اقترحت	اقترح
سَمع	سمع
مدينة…	مدينة
تسجيييييل	تسجيل
ثﻻثون	عشرون
نسختين	نسخة
مشترك،	مشترك
غيـر	غير
شگل	شكل
مياه	ماء
مفتوحه	مفتوحة
مفهموم	مفهوم
يناسب	تناسب
﴿وحيثما	إيانا
بانه	بان
،،دون	دون
كهربائي؟	كهربائي
كمأ	كما
وورقة	ورقة
قآم	قام
المدرسة…	المدرسة
شييء	شيء
الفرح…	الفرح
تفوق…	تفوق
بكم…	بكم
💕ولا	ولا
وضعنا	وضع
كلمةة	كلمة
وقآل	وقال
صخره	صخرة
طييب	طيب
،بصوت	بصوت
الضحگ	الضحك
نتائج	نتيجة
الموضووع	الموضوع
عرَف	عرف
والجنيه	الجنيه
بقعه	بقعة
سبعة	اربعة
لي🍃	لي
دونگ	دونك
ونقيب	نقيب
جمييع	جميع
فيم…	فيما
جمّال	جمال
الشهيره	الشهيرة
نجوم	نجمة
مُهيب	مهيب
وسيلة	طريقة
اختلفو	اختلف
تذكّر	تذكر
الكبر…	الكبرى
كلمّا	كلّما
متاسف	متأسف
وغضب	غضب
عميييييييق	عميق
إما	أما
معين؟	معين
منها❤️	منها
لمساعدة	مساعدة
قوّة	قوة
مُتـرف	مترف
مفاجاءة	مفاجأة
حرف👌	حرف
وبدأ	بدأ
سماوى	سماوي
رسمه	رسم
مكاتب	مكتب
دعوات	دعوة
،فقط	فقط
يُقدم	قدم
أخٍ	أخ
،إما	إمّا
عدة…	عدة
به”	به
شخصا،	شخصا
تمتيل	تمثيل
​يا	يا
ستشتعل	اشتعلت
أو…	أو
نحوا	نحو
،عن	عن
كذبة،	كذبة
الجزير	الجزيرة
ابغض	أبغض
المعلومة	الرسالة
ألذي	الذى
هذي	هذه
\/يمكن	يمكن
؟يمكن	يمكن
اذا	إذا
منطقه	منطقة
وجمع	جمع
‏حكم	حكم
خبز	الخبز
ومرفوض	مرفوض
خاصص	خاص
قي	في
خطوهـ	خطوة
مسآء	مساء
ﺎلضرورة	الضرورة
الاحد	السبت
يحفظ	حفظ
بتسجيل	تسجيل
وحساس	حساس
ملگ	ملك
باال	بال
شمالي	شمال
لفه	لفة
يائِس	يائس
الإبطين	الرقبة
وغالباً	غالبا
يحمل	تحمل
آتقان	إتقان
فاحم	لامع
السكرفي	السكر
كتبها	كتب
ذهب…	ذهب
ارتفاعات	الارتفاع
رائيسي	رئيسي
اربع	أربعة
عشرَ	عشر
مسآءء	مساء
ونقطة	نقطة
باقي	بقية
إطار	اطار
فوزه	الفوز
الشعر؟	الشعر
فماذا	ماذا
بلقمة	لقمة
إغنية	أغنية
وللشرق	الشرق
سطحِ	سطح
واسع…	واسع
الاسم	إسم
التحربه	التجربة
النار❤️	النار
ألأرض	الأرض
كاااامل	كامل
التار…	التاريخ
ملك	ملكة
عشره	عشر
الأرقام،	الأرقام
بنك	البنك
الخامسة	الثانية
لدى…	لدى
بِمن	بمن
للسباحة	السباحة
‏صور	صور
للصف	الصف
إلَيكَ❤	إلَيْكَ
إي	أي
متأسّفٍ	متأسف
لھا	لها
الرئيسية	الأساسية
مثيرتين	مثير
طبيعيه	طبيعي
أياها	إياهم
السماكة	السرعة
الجزير…	الجزيرة
فالمحيط	المحيط
راااقي	راقي
صغيـر	صغير
حيَّ	حيَّ
الضوضاء،	الضوضاء
لطِيف	لطيف
​ذيّ	ذِي
6ح	حم
حّل	حل
ااسم	اسم
كربِ	كرب
ذُو	ذو
الردّ	الرد
كثيرًا	كثيرا
هناک	هناك
بنهائي	نهائي
أمسی	أمسى
قائمة…	قائمة
دقائق	دقيقة
تستفزي	تعجبي
عقد…	عقد
،كي	كي
منحي	منح
،قطع	قطع
تغسيل	غسل
أوّل	اول
بحصة	حصة
أنظمة	نظام
وَلَلَبَسْنَا	لَسْتَ
قُبعة	قبعة
مستوا	مستوى
تطير	يطير
آلا	الا
تحمّل	تحمل
احسآس	إحساس
علامةة	علامة
الأول	الثالث
بتطوير	تطوير
له…	له
لاجل	أجل
لفتين	لفة
وعجيب	عجيب
يكُون	يكون
سريعا	بسرعة
شتآء	شتاء
إياها﴿وإن	إياهما
عصى	عصا
تعزيّز	تطوير
فتآة	فتاة
وهيّ	وهي
بعض…	بعض
اكّد	اكد
مكروه💙	مكروه
أيام	ايام
أٌرسلت	أرسلت
مخيّم	مخيم
قرييب	قريب
رطوبة	حرارة
الرجـال	الرجال
الثاني،	الثاني
زووووج	زوج
الواتي	اللواتي
بقصة	قصة
كَي	كي
ﺎلضحك	الضحك
وساطع	لامع
مطر،،	مطر
النقلة	القفزة
الكثافات	الضوضاء
،لكي	لكي
أي	إي
دعـوة	دعوة
الطبخ	طبخ
بعدة	عدة
بَالضرورة	الضرورة
عادل…	عادل
الحبّ	الحب
قديييييم	قديم
فيماا	فيما
وأضاف	واضاف
التقرير	الجدول
السميت	الخبز
وكريه	كريه
وضحية	ضحية
فضة،	فضة
؛بل	بل
سھل	سهل
أداه	أداة
​كم	كم
متآسف	متأسف
حزين”	حزين
ششبه	شبه
الرابعة	الثانية
،اثر	اثر
كإي	كأيّ
“قبل	قبل
والمعادن	المعادن
رائِحة	رائحة
كادان	كاد
السيطر…	السيطرة
الأظفر	الجذر
نحوّ	نحو
نعّم	نعم
سائحة	سيدة
يتسلق	تسلق
وتشير	تشير
يتحدث	وتحدث
اليہه	إليكما
هنآك	هنالك
والحق	الحق
غدآ	غدا
أسقاط	إسقاط
خطوةً	خطوة
نفطة	نقطة
اوشك	أوشك
بحجر	حجر
انجراف	انزلاق
‏الجلوس	الجلوس
إلئ	إلى
لك💖	لك
،،بل	بل
النتيجه	النتيجة
گتب	كتب
شيطانى	شيطاني
🎀﴿إِنَّ	إِنَّ
الجمآل	الجمال
اللذى	الذي
اختي	عزيزتي
الكبرى؟	الكبرى
محطتى	محطة
وجہ	وجه
وأين	أين
هى	هي
مُباشرة	مباشرة
الحـب	الحب
🔖فريق	فريق
أيضاميزة	ميزة
‏ماذا	ماذا
الدهون	الوزن
بمخيم	مخيم
الرسالة؟	الرسالة
مابشكل	بشكل
الورقة	ورقة
الأرض…	الأرض
مترَف	مترف
تذهبين	تذهب
شباب	الشباب
أنتن	أنتما
الخشب؟	الخشب
محموص	كتكوت
الأرضِ	الأرض
قاطعة	قاطع
جذآب	جذاب
خطّة	خطة
مصل…	مصلحة
آنتي	أنتِ
تاثير	تأثير
كيسة	كيس
لعصا	عصا
مليوون	مليون
سِوى	سوى
السااحل	الساحل
منحوووس	منحوس
يوم…	يوم
الصحافه	الصحافة
سببب	سبب
؛إما	إمّا
ولولا	لولا
أمنه	آمنة
يُحدث	يحدث
لدائرة	دائرة
اللاّتي	اللائي
تافه؟	تافه
‏راح	راح
ضعف…	ضعف
امتحان	اختبار
قتلو	قتل
الجيش	الحشد
سوآء	سواء
عامآ	عاما
هّذا	هَذا
ومناطقي	مقيت
قوه…	قوة
الفولاذي	الصلب
ثلاث	ثلاثة
يبدأ	بدأ
حُفرة	حفرة
ٺعلم	تعلم
فيمَ	فيم
آو	او
إليكم،	إليكم
عليكِ	عليك
الحارة”	الحارة
مستوی	مستوى
اعلنتي	اعلنت
اللواتى	اللواتي
هؤل…	هؤلاء
بأغنية	أغنية
شكلها	شكل
آمنةً	آمنة
الذرآع	الذراع
،ودي	ودي
مؤكد|	مؤكد
​ودي	ودي
الرجا	الرجاء
،عسى	عسى
القسم…	القسم
فيكوكب	كوكب
أيسرُ	أيسر
سحآبة	سحابة
نتيجه	نتيجة
لاتعرف	تعرف
حى	حي
النبقية	لينة
ضحاية	ضحية
تتفقان	توافق
ظہر	ظهر
سيارتي	سيارة
ويمكن	يمكن
عليه♥	عليه
هُنالك	هنالك
قِطعة	قطعة
المكوث	الجلوس
تعديل	تغيير
غير🍃	غير
مباش…	مباشرة
اﻻطفال	الأطفال
صآر	صار
تضمنين	تضمن
لصناعة	صناعة
فوزه	فوز
الكرة	كرة
ترمي	تلقي
عاااد	عاد
عسيراللهم	عسير
الﻵتي	اللائي
ضده…	ضد
الأولى	الثانية
بسببب	بسبب
حتئ	حتى
خطرعلى	خطر
الاوتوستراد	الساحل
وغني	غني
حاااار	حار
أصبحَ	أصبح
النسآء	النساء
،مادام	مادام
التاريح	التاريخ
للمسار	المسار
غريييب	غريب
عآد	عاد
الكُبرى	الكبرى
محرن	محزن
صباحًا	صباحا
نتيجة	نتاج
عجله	عجلة
آراد	أراد
آلليل	الليل
تحتاح	تحتاج
لأثبات	إثبات
شيء…	شيء
كثيرآ	كثيرا
نففس	نفس
هوﻻء	هؤلاء
وكأنّما	كأنّما
فقطالهدفإسقاط	إسقاط
لإقامة	إقامة
الصمـت	الصمت
إضاف…	إضافة
الأخضر…	الأخضر
اَللَّهَ	كَأَنَّ
بسبب…	بسبب
غالباََ	غالبا
‏​عزيزتي	عزيزتي
لجولة	جولة
مباشر…	مباشرة
سوىء	سوى
إياك	إياكم
صافق	طاق
ذِى	ذِي
ومظلم	مظلم
فحكاله	حاي
🔴موجة	موجة
بندقيتها	بندقية
خريطه	خريطة
غريب…	غريب
فَقْـــروَ	لَيْسَ
تماماً،	تماما
حيثٌ	حيث
بمآذا	بماذا
كان…	كان
منذُ	منذ
نقط…	نقطة
السادس	الثالث
أصبَح	أصبح
هناك	هنالك
كذبہ	كذبة
موضووع	موضوع
ضده	ضد
اولئلك	أولئك
ععاد	عاد
جنوووني	جنوني
بِكَلِمَةٍ	هَيْهَاتَ
أحب	أبغض
الذاتي،	الذاتي
بعيدٱ	بعيدا
حزينن	حزين
مريض،،	مكروب
الجملة	العبارة
المعارك…	المعركة
كانٺ	كانت
مطاردته	مطاردة
النساء…	النساء
بشمال	شمال
قيمة…	قيمة
حيآة	حياة
الصفين	الصف
منهآ	منها
عاااادل	عادل
شكرااا	شكرا
لكى	لكي
TABI3مباااشر	مباشرة
آسمر	أسمر
عَمَّايَعْمَلُ	عَمَّا
وحده	وحدة
بقطع	قطع
هذهي	هذه
ووحدة	وحدة
حالياَ	حاليا
قاعة	ساحة
الكلية	القسم
وراح	راح
ايّ	اي
قصيرلا	قصير
واسِع	واسع
الى	إلى
مُرعب	مرعب
معين؛	معين
تندلع	اشتعلت
شاااااااهد	شاهد
يتوقف	توقف
حليييب	حليب
،أما	أما
جوابه	الجواب
وبات	بات
نعمم	نعم
بالعالم	العالم
خطوةٍ	خطوة
ظهرت	تظهر
مكرو…	مكروه
‏غريب	غريب
اليكما	إليكما
“راقب	راقب
الخميس	السبت
أسنان،	أسنان
الرقبة	الكتف
فيهاا	فيها
بغرفة	غرفة
مساواه	مساواة
تضهر	تظهر
أيجابي	سلبي
للمدينة	المدينة
‏تذكر	تذكر
الشطائر	الخبز
عيـب	عيب
بالذهب	الذهب
ذاک	ذاك
شاهدوا	شاهد
لفقرة	فقرة
هَاؤم	هاؤم
السنجاب	القط
مااات	مات
تصاميم	تصميم
رآي	رأي
خااااااص	خاص
و8	و6
​هل	هل
نآفذة	نافذة
لنا”	لنا
صباحاً	صباحا
‏احد	احد
ذهنك	ذهني
الحصان،	الحصان
تريدين	تريد
سمعنا	سمعت
وتحت	تحت
وأدى	أدى
لموضوع	موضوع
‏ربما	ربما
ﺎرض	أرض
نُوم	نوم
الرابع	الثالث
ماات	مات
